"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 16 22:42:20 IST 2021","Tue Nov 16 22:42:21 IST 2021","1103","Web_Test_Execution_Suite","FindTextOccurrencewithTest","com.impactqa.test.web.TC002_FindTextOccurrenceTest","com.impactqa.test.web.TC002_FindTextOccurrenceTest","validateFindTextOccurrence","validateFindTextOccurrence","This will validate the functionality of the Find Text Occurrence page"
"passed","Tue Nov 16 22:42:17 IST 2021","Tue Nov 16 22:42:20 IST 2021","3565","Web_Test_Execution_Suite","FindTextOccurrencewithTest","com.impactqa.test.web.TC002_FindTextOccurrenceTest","com.impactqa.test.web.TC002_FindTextOccurrenceTest","doLogin","doLogin","This will login and will redirect to Find Occurrence page"
